id,source_file,swiftui_view,purpose,state_inputs,events,children,proposed_react_component,route,notes
logging-view,UzoFitness/Views/Screens/LoggingView.swift,LoggingView,Workout logging root,"activePlan, selectedDay, session, exercises, timers","startSession, editSet, addSet, toggleSet, startRest, finishSession","WorkoutSessionView, LoggingExerciseRowView, SetRowView, RestTimerButton","LogPage, SessionModal, ExerciseRow, SetRow, RestTimerButton","/log, /log/session","Zustand for timers; Query for entities"
library-view,UzoFitness/Views/Screens/LibraryView.swift,LibraryView,Manage templates and exercises,"templates, exercises, activePlanId","createTemplate, duplicateTemplate, deleteTemplate, createExercise, deleteExercise, activatePlan","WorkoutsTabView, ExercisesTabView, ExerciseTemplateEditorView","LibraryPage, TemplatesList, ExercisesList, TemplateEditor","/library, /library/templates/:id","Drag reorder via dnd-kit"
history-view,UzoFitness/Views/Screens/HistoryView.swift,HistoryView,Calendar of sessions,"allWorkoutSessions, selectedDate","selectDate","CalendarGridView, WorkoutSessionSimpleCard","HistoryPage, Calendar, SessionList","/history","Compute streaks client-side"
progress-view,UzoFitness/Views/Screens/ProgressView.swift,ProgressView,Stats and photos,"exerciseTrends, photosByAngle, compareSelection, selectedMetricType, currentWeight","selectExercise, toggleMetric, addPhoto, deletePhoto, selectForCompare, editPhoto","ConsolidatedMetricChart, PhotoGalleryView, PhotoCompareView","ProgressPage, StatsTab, PhotosTab, Chart, PhotoGrid, CompareView","/progress/stats, /progress/photos","Recharts; file input + IndexedDB"
settings-view,UzoFitness/Views/Screens/SettingsView.swift,SettingsView,Permissions toggles,"isHealthKitEnabled, isPhotoAccessGranted","requestHealthKitAccess, togglePhotoAccess","","SettingsPage","/settings","Replace HealthKit with manual entry"
workout-session-view,UzoFitness/Views/Screens/WorkoutSessionView.swift,WorkoutSessionView,Active session UI,"session, exercises, timers","editSet, toggleSet, addSet, startRest, markExerciseComplete, finishSession","WorkoutSessionHeaderView, LoggingExerciseRowView, SetRowView, RestTimerDurationPicker","SessionModal, SessionHeader, ExerciseRow, SetRow, RestTimerPicker","/log/session","Modal on mobile"
exercise-template-editor,UzoFitness/Views/Components/ExerciseTemplateEditorView.swift,ExerciseTemplateEditorView,Edit an exercise in a day,"exerciseTemplate","updateExerciseTemplate","","ExerciseTemplateEditor","/library/templates/:id","Form with RHF+Zod"
workout-template-editor,UzoFitness/Views/Components/WorkoutTemplateEditorView.swift,WorkoutTemplateEditorView,Edit a template,"template","updateTemplate, addExercises, toggleRestDay, reorderExerciseTemplates","DayDetailView, ExerciseTemplateRowView, AddExerciseButton","TemplateEditorPage","/library/templates/:id","Nested list per weekday"
photo-gallery,UzoFitness/Views/Components/PhotoGalleryView.swift,PhotoGalleryView,Grid of photos,"photosByAngle","selectForCompare, deletePhoto","ProgressPhotoGrid, LocalFileImage","PhotoGrid, PhotoCard","/progress/photos","Use object URLs + Supabase optional"

